Unnamed: 0,protocol,IP,hash ID,Time,F_Pck,B_Pck,F_P_L1,F_P_L2,F_P_L3,F_P_L4,B_P_L1,B_P_L2,B_P_L3,B_P_L4,F_Hash_IPT,B_Hash_IPT,F_P_L_A,B_P_L_A,F_IA_T_M,F_IA_T_S,A_M,I_M,F_TCP_S_C,B_TCP_S_C,Label_T,Label_AB,Label_Multi_A,Prelabel_T,Prelabel_AB,Prelabel_Multi_A
294,6,10.1.1.2,2550164764,5.693724,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,166388.277,0.0,85190798.08,0,0,0,1,2,0,1,2
302,6,10.1.1.4,3743576265,5.867664,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,100413.423,0.0,57838131.92,0,0,0,1,4,0,1,4
309,6,10.1.1.2,2550164764,5.927296,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,109602.175,0.0,56116313.82,0,0,0,1,2,0,1,2
316,6,10.1.1.2,2550164764,6.047354,0,100,0,0,0,0,0,0,100,0,16,16,0,503,0.0,213230.166,0.0,107399770.0,0,0,0,1,2,0,1,2
318,6,10.1.1.7,1673646831,6.079764,0,100,0,0,0,0,0,0,100,0,16,16,0,260,0.0,15463.671,0.0,4027977.113,0,0,0,1,7,0,1,7
324,6,10.1.1.4,3743576265,6.189495,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,79544.857,0.0,45817837.79,0,0,0,1,4,0,1,4
328,6,10.1.1.2,2550164764,6.249152,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,126859.557,0.0,64952092.96,0,0,0,1,2,0,1,2
336,6,10.1.1.2,2550164764,6.410884,0,100,0,0,0,0,0,0,100,0,16,16,0,510,0.0,158286.356,0.0,80738704.21,0,0,0,1,2,0,1,2
339,6,10.1.1.3,159023198,6.462259,0,100,0,0,0,0,0,0,0,100,16,16,0,1499,0.0,16621.887,0.0,24924852.09,0,0,0,1,3,0,1,3
342,6,10.1.1.4,3743576265,6.505848,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,80922.301,0.0,46611245.22,0,0,0,1,4,0,1,4
343,6,10.1.1.8,3884774358,6.530502,0,100,0,0,0,0,0,0,92,8,16,16,0,651,0.0,22997.718,0.0,14983473.07,0,0,0,1,8,0,1,8
351,6,10.1.1.2,2550164764,6.595851,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,138403.214,0.0,70862445.67,0,0,0,1,2,0,1,2
360,6,10.1.1.6,2126477730,6.708361,0,100,0,0,0,0,0,0,100,0,16,16,0,417,0.0,14760.6,0.0,6168749.865,0,0,0,1,6,0,1,6
363,6,10.1.1.1,595229600,6.758923,0,100,0,0,0,0,0,1,3,96,16,16,0,1477,0.0,14972.555,0.0,22125843.18,0,0,0,1,1,0,1,3
365,6,10.1.1.4,3743576265,6.763271,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,99447.151,0.0,57281558.73,0,0,0,1,4,0,1,4
370,6,10.1.1.2,2550164764,6.825583,0,100,0,0,0,0,0,1,99,0,16,16,0,495,0.0,111434.175,0.0,55200033.0,0,0,0,1,2,0,1,2
378,6,10.1.1.2,2550164764,6.946806,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,211181.094,0.0,108124720.0,0,0,0,1,2,0,1,2
382,6,10.1.1.4,3743576265,7.07678,0,100,0,0,0,0,0,0,100,0,16,15,0,576,0.0,81656.351,0.0,47034058.33,0,0,0,1,4,0,1,4
383,6,10.1.1.2,2550164764,7.078508,0,100,0,0,0,0,0,0,100,0,16,15,0,512,0.0,194377.945,0.0,99521507.8,0,0,0,1,2,0,1,2
392,6,10.1.1.2,2550164764,7.196653,0,100,0,0,0,0,0,0,100,0,16,16,0,508,0.0,216682.91,0.0,110109587.5,0,0,0,1,2,0,1,2
400,6,10.1.1.2,2550164764,7.342846,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,175111.236,0.0,89656952.87,0,0,0,1,2,0,1,2
404,6,10.1.1.4,3743576265,7.363099,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,89410.757,0.0,51500595.85,0,0,0,1,4,0,1,4
405,6,10.1.1.9,3428079016,7.407748,0,100,0,0,0,0,0,0,0,100,16,16,0,1526,0.0,6413.693,0.0,9789861.73,0,0,0,1,9,0,1,9
409,6,10.1.1.2,2550164764,7.491813,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,171850.109,0.0,87987256.01,0,0,0,1,2,0,1,2
413,6,10.1.1.8,3884774358,7.54184,0,100,0,0,0,0,0,0,90,10,16,16,0,617,0.0,25313.001,0.0,15633309.61,0,0,0,1,8,0,1,8
415,6,10.1.1.7,1673646831,7.566496,0,100,0,0,0,0,0,0,100,0,16,16,0,264,0.0,17218.974,0.0,4551319.251,0,0,0,1,7,0,1,7
